UID,Section,Group,Sum_Introversion,Sum_Extraversion,TBL1_iRAT,TBL2_iRAT,TBL3_iRAT,TBL4_iRAT,TBL1_tRAT,TBL2_tRAT,TBL3_tRAT,TBL4_tRAT,,,,,,,,,,,,,,,,,,,,,,,,,,
23395,F2F_2021,1,11,24,5,2,5,4,15,12,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23396,F2F_2021,21,13,22,3,3,4,4,15,12,15,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
23397,F2F_2021,4,8,26,3,3,3,4,15,12,12,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23398,F2F_2021,17,26,8,5,4,3,3,15,12,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23399,F2F_2021,25,9,27,4,3,4,2,15,11,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
23400,F2F_2021,22,14,21,3,2,4,5,15,12,15,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
23401,F2F_2021,3,10,26,3,1,2,2,15,12,14,14,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
23402,F2F_2021,19,21,13,4,3,3,4,15,13,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23403,F2F_2021,3,21,15,3,2,2,2,15,12,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23404,F2F_2021,3,9,27,5,2,3,4,15,12,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23411,F2F_2021,14,26,7,4,3,4,4,15,11,14,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23413,F2F_2021,4,22,11,4,3,4,5,15,12,12,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23415,F2F_2021,20,23,13,3,2,4,3,15,8,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
23416,F2F_2021,5,19,14,3,3,4,7999,15,15,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
23418,F2F_2021,14,23,13,5,2,1,4,15,11,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
23445,F2F_2021,24,11,24,2,1,3,3,15,14,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23622,F2F_2021,21,21,14,5,3,3,3,15,12,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
23702,F2F_2021,2,18,17,2,1,2,4,15,14,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
23711,F2F_2021,12,23,12,5,1,2,7999,15,11,15,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7999,1,7999,1,1,1,1,1
23728,F2F_2021,23,15,21,4,4,1,7999,15,14,13,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7999,1,7999,1,1,1,1,1
19397,F2F_2020,12,23,11,2,1,3,2,15,15,13,15,1,1,1,1,1,0,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20919,F2F_2020,5,24,12,5,4,4,3,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20920,F2F_2020,18,11,22,4,4,4,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20921,F2F_2020,4,25,9,5,2,3,2,15,10,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20922,F2F_2020,5,29,7,4,4,0,4,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20925,F2F_2020,19,24,11,3,2,2,3,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20926,F2F_2020,11,29,7,3,3,0,5,12,15,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20927,F2F_2020,19,18,17,3,5,3,4,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20928,F2F_2020,25,26,8,2,3,3,5,15,15,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20929,F2F_2020,4,27,7,4,0,1,5,15,10,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20930,F2F_2020,15,26,9,3,1,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20931,F2F_2020,21,5,31,3,4,2,1,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20932,F2F_2020,8,16,19,4,2,1,3,15,15,12,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20933,F2F_2020,6,17,18,3,4,2,3,15,15,10,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20934,F2F_2020,20,21,15,5,3,2,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20936,F2F_2020,2,18,16,2,3,3,3,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20937,F2F_2020,18,19,15,4,1,3,3,15,15,15,15,1,0.5,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20938,F2F_2020,9,12,23,4,4,5,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20939,F2F_2020,19,22,13,5,3,4,3,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20940,F2F_2020,5,20,13,4,0,3,3,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20941,F2F_2020,20,14,19,2,1,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
20942,F2F_2020,3,10,26,3,2,3,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20945,F2F_2020,23,25,11,3,2,4,1,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20946,F2F_2020,22,20,14,4,2,2,3,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20947,F2F_2020,16,20,15,4,4,4,5,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20948,F2F_2020,22,6,28,4,2,2,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20949,F2F_2020,12,23,11,2,2,2,2,15,15,13,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20950,F2F_2020,25,18,16,3,5,3,4,15,15,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20951,F2F_2020,3,20,15,5,4,1,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20952,F2F_2020,10,8,26,4,4,3,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20953,F2F_2020,22,11,24,5,4,4,4,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20954,F2F_2020,8,30,6,1,1,1,1,15,15,12,14,1,0.5,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20955,F2F_2020,19,14,19,2,2,2,1,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20956,F2F_2020,11,25,11,5,2,1,3,12,15,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20957,F2F_2020,11,20,16,4,3,2,3,12,15,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20958,F2F_2020,18,18,18,3,3,3,2,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20959,F2F_2020,13,7,29,3,1,3,4,15,13,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20960,F2F_2020,16,16,19,5,2,2,2,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20961,F2F_2020,10,17,16,2,3,3,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20962,F2F_2020,9,19,15,3,1,5,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20963,F2F_2020,2,12,22,3,3,3,4,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20964,F2F_2020,21,16,18,2,4,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20965,F2F_2020,20,24,12,4,2,2,2,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20966,F2F_2020,5,22,13,5,3,4,1,15,14,14,15,1,1,1,1,0,1,7999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20967,F2F_2020,13,18,17,3,3,1,3,15,13,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
20968,F2F_2020,6,29,7,2,1,2,4,15,15,10,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20969,F2F_2020,24,17,18,5,3,2,2,15,14,15,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20970,F2F_2020,15,21,15,5,0,2,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21044,F2F_2020,5,27,9,5,2,4,4,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21045,F2F_2020,10,25,11,4,3,4,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21046,F2F_2020,14,18,16,4,2,3,2,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
21047,F2F_2020,23,25,11,4,4,5,4,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21049,F2F_2020,24,21,15,2,4,4,4,15,14,15,14,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21050,F2F_2020,13,12,24,4,2,0,2,15,13,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21051,F2F_2020,22,5,29,3,1,3,2,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
21052,F2F_2020,6,10,24,3,5,2,2,15,15,10,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21053,F2F_2020,3,20,15,3,3,4,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21054,F2F_2020,16,10,25,3,2,3,3,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
21055,F2F_2020,22,17,16,3,2,3,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21057,F2F_2020,2,20,15,4,4,4,5,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21058,F2F_2020,9,20,16,2,4,3,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21059,F2F_2020,3,13,21,4,1,4,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21061,F2F_2020,1,25,11,5,3,3,5,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21062,F2F_2020,25,26,10,3,3,4,3,15,15,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21063,F2F_2020,8,12,24,4,3,4,3,15,15,12,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21064,F2F_2020,22,16,18,4,4,3,2,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21065,F2F_2020,10,19,15,3,5,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21066,F2F_2020,23,16,19,3,1,3,3,15,14,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
21068,F2F_2020,16,30,6,3,3,3,4,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21069,F2F_2020,22,23,12,3,3,3,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21070,F2F_2020,2,8,25,4,2,5,2,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21071,F2F_2020,15,30,6,1,3,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21072,F2F_2020,15,21,14,5,5,5,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21073,F2F_2020,13,16,18,2,4,5,4,15,13,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21076,F2F_2020,15,25,10,3,4,4,5,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21077,F2F_2020,14,22,13,3,2,0,5,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21078,F2F_2020,9,21,14,3,4,3,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21079,F2F_2020,15,19,14,3,2,2,2,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21080,F2F_2020,4,29,7,4,2,1,0,15,10,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21081,F2F_2020,1,11,25,4,2,3,3,15,14,15,15,1,0.5,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21082,F2F_2020,5,23,13,2,3,1,5,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21083,F2F_2020,18,25,10,4,4,5,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21084,F2F_2020,9,23,11,2,3,1,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21086,F2F_2020,22,21,14,2,4,3,3,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
21087,F2F_2020,14,15,21,2,2,1,2,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21088,F2F_2020,24,20,14,5,3,3,4,15,14,15,14,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21089,F2F_2020,6,17,18,4,3,4,4,15,15,10,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
21090,F2F_2020,7,23,13,3,2,5,2,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
21091,F2F_2020,1,27,9,2,4,0,4,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21092,F2F_2020,16,26,9,5,3,3,2,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21093,F2F_2020,13,22,13,4,2,1,5,15,13,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21095,F2F_2020,17,18,16,3,0,3,5,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21096,F2F_2020,14,17,18,3,3,3,3,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21097,F2F_2020,24,6,28,3,2,5,3,15,14,15,14,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21098,F2F_2020,18,11,23,3,2,5,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21099,F2F_2020,14,27,9,4,1,3,4,15,14,14,15,1,1,1,1,1,0,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21100,F2F_2020,24,14,21,4,3,3,3,15,14,15,14,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21102,F2F_2020,8,23,12,5,4,3,3,15,15,12,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21103,F2F_2020,5,16,19,4,3,4,3,15,14,14,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21104,F2F_2020,25,11,23,5,3,4,3,15,15,14,14,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21105,F2F_2020,11,29,7,4,2,1,3,12,15,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21106,F2F_2020,8,10,25,2,2,0,3,15,15,12,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21107,F2F_2020,11,3,30,3,1,2,1,12,15,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21108,F2F_2020,24,9,24,5,1,3,4,15,14,15,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
21110,F2F_2020,2,18,15,3,3,5,4,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21111,F2F_2020,3,11,23,3,1,4,1,15,15,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21112,F2F_2020,12,9,27,1,3,1,2,15,15,13,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21114,F2F_2020,12,6,27,4,2,3,5,15,15,13,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
21115,F2F_2020,21,9,24,2,2,3,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
21116,F2F_2020,16,10,23,4,4,4,3,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21117,F2F_2020,12,19,15,4,1,4,5,15,15,13,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21119,F2F_2020,15,29,7,2,3,2,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21120,F2F_2020,16,26,10,5,4,3,3,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21121,F2F_2020,4,20,15,4,4,5,4,15,10,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21123,F2F_2020,23,15,18,2,3,4,3,15,14,15,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21124,F2F_2020,13,18,17,2,3,2,5,15,13,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21125,F2F_2020,4,14,21,2,3,2,2,15,10,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21126,F2F_2020,2,22,13,4,4,3,4,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21127,F2F_2020,10,18,18,5,3,3,1,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21128,F2F_2020,7,24,12,2,5,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
21129,F2F_2020,24,23,12,5,3,3,2,15,14,15,14,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21132,F2F_2020,10,12,24,3,4,3,2,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21133,F2F_2020,6,24,12,4,2,3,2,15,15,10,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21134,F2F_2020,7,24,9,2,4,5,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21135,F2F_2020,16,15,21,3,3,4,3,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21136,F2F_2020,17,12,23,4,3,4,4,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21137,F2F_2020,6,13,20,5,2,2,4,15,15,10,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
21139,F2F_2020,5,16,18,4,1,1,4,15,14,14,15,1,1,1,1,0,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21140,F2F_2020,19,31,5,2,1,3,4,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21141,F2F_2020,19,17,19,2,0,3,4,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21142,F2F_2020,20,14,21,5,2,3,2,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21143,F2F_2020,20,27,9,4,4,5,4,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21144,F2F_2020,21,17,18,2,2,3,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21145,F2F_2020,4,28,7,4,3,4,3,15,10,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
21146,F2F_2020,23,23,11,3,4,2,2,15,14,15,15,1,1,1,1,0,0,7999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
21147,F2F_2020,20,23,13,3,2,2,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21148,F2F_2020,2,18,17,4,2,3,1,15,10,14,14,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21150,F2F_2020,1,16,19,5,4,4,2,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21151,F2F_2020,21,21,14,4,1,4,3,15,15,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21152,F2F_2020,16,17,19,3,3,3,4,15,13,16,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21153,F2F_2020,11,18,18,4,4,1,3,12,15,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21154,F2F_2020,17,13,21,5,3,0,3,15,14,15,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21155,F2F_2020,19,13,21,2,4,3,4,15,14,14,15,1,1,1,1,1,1,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
